Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
2000.00;26;41G9;1000.00;1997.24;1210.15;3886.84;705.16;623.34;274.67;14.70;40.55
2000.00;26;41H0;953.30;510.81;2053.56;4461.10;1043.90;834.40;305.30;54.97;109.65
2001.00;24;38G2;832.90;1.85;23.47;14.59;86.24;38.45;8.40;0.34;0.00
2001.00;24;38G3;865.70;5.61;104.78;62.90;356.73;159.49;37.31;2.29;0.00
2001.00;24;38G4;1034.80;22.22;490.16;440.66;1382.47;597.05;80.36;2.59;0.00
2001.00;24;39G2;406.10;1.96;24.94;15.51;91.63;40.86;8.92;0.36;0.00
2001.00;24;39G3;765.00;2.65;24.69;15.95;98.24;43.68;8.88;0.16;0.00
2001.00;24;39G4;524.80;29.16;55.47;35.25;118.32;51.32;7.00;0.26;0.00
2001.00;25;37G5;642.20;1.12;389.51;536.66;1445.05;326.36;97.74;13.87;0.00
2001.00;25;38G5;1035.70;0.05;22.01;30.47;85.57;19.25;5.85;0.71;0.00
2001.00;25;38G6;940.20;0.73;189.41;258.86;641.43;146.09;42.37;7.89;0.00
2001.00;25;39G4;287.30;0.37;37.80;52.30;118.57;23.26;6.22;0.44;0.00
2001.00;25;39G5;979.00;2.18;150.73;188.53;424.24;86.82;24.79;1.55;0.00
2001.00;25;39G6;1026.00;7.07;215.50;272.45;530.13;97.23;22.93;1.48;0.00
2001.00;25;39G7;1026.00;478.16;1260.80;825.26;980.17;117.85;16.54;0.17;0.00
2001.00;25;40G4;677.20;0.81;81.47;112.73;255.55;50.13;13.40;0.94;0.00
2001.00;25;40G5;1012.90;15.97;580.49;731.88;1597.94;325.85;89.40;5.25;0.00
2001.00;25;40G6;1013.00;16.05;923.78;922.03;1516.24;245.73;49.74;1.83;0.00
2001.00;25;40G7;1013.00;26.83;852.54;749.30;1144.90;171.76;29.32;0.77;0.00
2001.00;25;41G6;764.40;102.39;1998.77;1340.10;1586.38;194.34;27.86;0.26;0.00
