"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1991,00;"29";"46H0";933,80;112,00;247,22;1285,73;343,24;128,72;291,14;100,11;30,65;74,57
1991,00;"29";"46H1";921,50;43,00;153,92;458,51;130,48;85,63;115,19;77,47;28,54;13,25
1991,00;"29";"47H0";920,30;32,00;104,47;505,52;221,87;45,77;175,11;39,80;32,83;56,71
1991,00;"29";"47H1";920,30;164,00;165,79;590,50;384,20;98,28;277,98;88,36;78,43;44,67
1991,00;"29";"47H2";793,90;777,00;232,28;573,24;511,44;55,41;259,98;78,85;61,80;46,88
1991,00;"29";"48H2";597,00;2636,00;592,50;1629,10;1365,01;115,80;657,71;199,00;118,05;83,20
1992,00;"22";"37G0";209,90;14,77;14,52;1,35;0,26;0,10;0,00;0,04;0,00;0,00
1992,00;"22";"37G1";723,30;185,66;142,79;13,11;2,45;0,80;0,00;0,09;0,00;0,00
1992,00;"22";"38F9";51,90;14,59;10,43;5,32;1,61;0,67;0,00;0,08;0,00;0,00
1992,00;"22";"38G0";735,30;255,57;251,25;23,40;4,51;1,75;0,00;0,68;0,00;0,00
1992,00;"22";"38G1";173,20;30,54;15,22;2,01;0,50;0,00;0,00;0,00;0,00;0,00
1992,00;"22";"39F9";159,30;65,10;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1992,00;"22";"39G0";201,70;238,03;30,74;0,85;0,04;0,00;0,00;0,00;0,00;0,00
1992,00;"22";"39G1";250,00;16,38;0,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1992,00;"22";"40F9";51,30;8,95;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1992,00;"22";"40G0";538,10;213,54;4,42;0,12;0,00;0,00;0,00;0,00;0,00;0,00
1992,00;"23";"40G2";164,00;16,13;69,65;106,87;46,99;36,20;10,77;3,43;2,76;0,71
1992,00;"23";"41G2";72,30;40,29;70,94;23,61;2,71;0,00;0,00;0,00;0,00;0,00
1992,00;"24";"37G2";192,40;97,05;71,16;28,03;10,68;5,04;1,02;0,38;0,00;0,01
1992,00;"24";"38G2";832,90;886,14;649,77;255,95;97,53;46,01;9,34;3,42;0,00;0,13
